author,email,papers,tags
"Bernal, Blanca",,[],"[""Nature Conservation"", ""Ecosystem Restoration"", ""Reforestation""]"
"Murray, Lara T. ",,[],"[""Nature Conservation"", ""Ecosystem Restoration"", ""Reforestation""]"
"Acreman, Mike",,[],"[""Biodiversity Loss""]"
"Adame, M. F. ",,[],"[""Nature Conservation"", ""Land Conservation"", ""Conserved Lands"", ""Land Habitats""]"
"Najera-Hillman, E. ",,[],"[""Nature Conservation"", ""Land Conservation"", ""Conserved Lands"", ""Land Habitats""]"
"Aguirre-Gutiérrez, Jesus",,[],"[""Nature Conservation"", ""Ecosystem Restoration"", ""Grassland Restoration""]"
"Stevens, Nicola",,[],"[""Nature Conservation"", ""Ecosystem Restoration"", ""Grassland Restoration""]"
"Allan, James R. ",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Possingham, Hugh P.",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Altieri, Miguel A. ",,[],"[""Regenerative Agriculture"", ""Regenerative Croplands""]"
"Nicholls, Clara I.",,[],"[""Regenerative Agriculture"", ""Regenerative Croplands""]"
"Ament, Rob",,[],"[""Nature Conservation"", ""Wildlife Connectivity"", ""Land Corridors""]"
"Tabor, Gary",,[],"[""Nature Conservation"", ""Wildlife Connectivity"", ""Land Corridors""]"
"Andre, Pedro",,[],"[""Climate Change""]"
"Falk, Armin",,[],"[""Climate Change""]"
"McGill, Andrew",,[],"[""Nature Conservation"", ""Land Conservation"", ""Urban Biodiversity""]"
"Anjos, Diego V. ",,[],"[""General"", ""Regenerative Croplands"", ""Sustainable Fertilizer""]"
"Tena, Alejandra",,[],"[""General"", ""Regenerative Croplands"", ""Sustainable Fertilizer""]"
"Anthony, Mark A. ",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Crowther, Thomas W.",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Uludere-Aragon, Nazli Z. ",,[],"[""Energy Transition"", ""Renewable Transport"", ""Sustainable Biofuel""]"
"Parker, Nathan C.",,[],"[""Energy Transition"", ""Renewable Transport"", ""Sustainable Biofuel""]"
"Arneth, Almut",,[],"[""Climate Change"", ""Climate Impacts""]"
"Deton, Fatima",,[],"[""Climate Change"", ""Climate Impacts""]"
"Asghari, Gholamreza ",,[],"[""Regenerative Agriculture"", ""Regenerative Croplands"", ""Perennial/Superfoods""]"
"Palizban, Abbasali",,[],"[""Regenerative Agriculture"", ""Regenerative Croplands"", ""Perennial/Superfoods""]"
"Asner, G. P.",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Martin, R. E.",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Atwood, Trisha B. ",,[],"[""Nature Conservation""]"
"Connolly, Rod M. ",,[],"[""Nature Conservation""]"
"Badgley, Grayson",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Freeman, Jeremy",,[],"[""Nature Conservation"", ""Land Conservation""]"
"Bahadur, Krishna",,[],"[""Regenerative Agriculture"", ""Regenerative Croplands"", ""Crop Optimization""]"
