authors,title,author1,author2,organization,year,journal,keyFindings,metaDescription,onePageSummary,link,pillar,subpillar,solution,subcategory,file
Blanca et al.,Global carbon dioxide removal rates from forest landscape restoration activities,"Bernal, Blanca","Murray, Lara T. ",Winrock International,2018,Carbon Balance & Management,"Across all tropical trees, reforestation yields an average of 22 tCO2/yr per hectare carbon dioxide removal for the first 20 years. Across all temperate trees, reforestation yields an average of 14 tCO2/yr. Across all boreal trees, reforestation yields an average of 7.5 tCO2/yr. Mangrove restoration yields 23 tCO2/yr for the first 20 years, and 10.5 tCO2/yr for subsequent years. 1 hectare of restored mangroves if undisturbed could sequester as much as 880 tCO2.","Global analysis of forest landscape restoration to provide carbon dioxide removal rates for tropical, temperate, boreal, and mangrove trees (Bernal et al).",,https://cbmjournal.biomedcentral.com/articles/10.1186/s13021-018-0110-8,Nature Conservation,Ecosystem Restoration,Reforestation,,
M. Acreman,Environmental flows–basics for novices,"Acreman, Mike",,Centre for Ecology & Hydrology (UK),2016,WIREs Water,"Defines ‘environmental flows’ as the hydrological regime necessary to sustain freshwater and estuarine ecosystems, widely used in conservation planning. The paper sites an array of different approaches, providing a planning framework based on five critical questions facing water managers in assessing environmental flow needs for river ecosystems — (1) setting objectives for river ecosystems, (2) examining pressures that hinder these objectives, (3) determining the required level of detail for planning, (4) implementing conservation measures, and (5) understanding how climate change and land use change could affect the success of watershed management over the long term.","A sustainable hydrological regime that includes setting objectives for river ecosystems and examining what hinders these objectives (M. Acreman).
",,https://doi.org/10.1002/wat2.1160,Biodiversity Loss,,,,
Adame et al.,"Avoided emissions and conservation of scrub mangroves: potential for a Blue Carbon project in the Gulf of California, Mexico","Adame, M. F. ","Najera-Hillman, E. ",Griffith University (AU),2018,Biology Letters,"Short-statured 'scrub' mangroves (under 2 m in height) found in arid areas are often overlooked as a Blue Carbon solution. They are not considered to be 'trees' under the REDD+ carbon credit framework, but their deforestation emissions are significant. A new project in the Gulf of California (Mexico) aims to protect approximately 16,000 ha of mangroves, avoiding 2.8 MtCO2 emissions over 100 years, valued at $426,000 annually. The funds generated from carbon credits will support community-based mangrove management, including surveillance, invasive species eradication, storm rehabilitation, and educational outreach.
","A Gulf of California Blue Carbon project protects 16,058 ha of mangroves, avoiding 2.8M Mt CO2 emissions over 100 years, funding community-based mangrove management (Adame et al).",,https://doi.org/10.1098/rsbl.2018.0400,Nature Conservation,Land Conservation,Conserved Lands,Land Habitats,
Aguirre-Gutiérrez et al.,Valuing the functionality of tropical ecosystems beyond carbon,"Aguirre-Gutiérrez, Jesus","Stevens, Nicola",Oxford University (UK),2023,Science & Society,"Tree planting on tropical grasslands (afforestation) is attractive to carbon credit developers due to favourable climatic and topographic conditions that promote rapid plant growth. But tropical ecosystems offer billions of dollars in other ecosystem services -- carbon storage, water provisioning, grazing land, nature-based tourism, and biodiversity conservation. Increasing woody biomass on intact savanna ecosystems generally represents a state of degradation. Carbon-focused tree planting exacerbates biodiversity loss, particularly of species adapted to open environments. For example, in the Brazilian Cerrado (savanna) a 40% increase in woody cover resulted in a ~30% reduction in the diversity of plants and ants. It also can deplete groundwater, reducing streamflow between 40-80%.","Tree planting in grasslands can offset emissions but risks harming ecosystems. Restoring balance among services, biodiversity, and carbon is crucial (Aguirre-Gutiérrez et al).




",,https://doi.org/10.1016/j.tree.2023.08.012,Nature Conservation,Ecosystem Restoration,Grassland Restoration,,
Allan et al.,The minimum land area requiring conservation attention to safeguard biodiversity,"Allan, James R. ","Possingham, Hugh P.",University of Amsterdam (NL),2022,Science,"Ambitious conservation efforts must cover 64M km² (44% of terrestrial land) to protect key biodiversity, ecologically intact areas, and species representation. Over 1.8B people depend on these lands, necessitating equitable and sustainable management. Immediate action is needed as 1.3M km² risk conversion by 2030. Differences in land-use scenarios present opportunities to mitigate habitat loss and should be integral to the Post-2020 Global Biodiversity Framework","Ambitious conservation is needed to protect 64M km² (44%) of terrestrial land, impacting 1.8 B people. Immediate action is required to prevent 1.3M km² conversion by 2030 (Allan et al).",,https://www.science.org/doi/10.1126/science.abl9127,Nature Conservation,Land Conservation,,,
Altieri et al.,Agroecology and the design of climate change-resilient farming systems,"Altieri, Miguel A. ","Nicholls, Clara I.",University of California-Berkeley,2015,Agronomy for Sustainable Development,"Climate change is expected to severely affect agricultural production through increased temperatures and altered precipitation, reducing crop yields. Crop yields are threatened by temperature and water availability, compounded by shifts in pest, pathogen, and weed dynamics. ​Adaptation through strategic agroecological measures, such as polycultures, agroforestry, crop-livestock systems, organic soil management, and water conservation, can bolster resilience. Traditional farming systems offer valuable strategies, and farms with increased biodiversity have shown greater resilience to extreme climatic events. Enhanced biodiversity and sustainable practices can significantly bolster agricultural resilience to climate extremes.",Temperature rise and altered precipitation threaten crop yields and ecosystem dynamics; biodiversity-driven agroecological strategies can enhance resilience (Altieri et al).,,https://link.springer.com/article/10.1007/s13593-015-0285-2,Regenerative Agriculture,Regenerative Croplands,,,
Arment et al.,Wildlife Connectivity Fundamentals for Conservation Action,"Ament, Rob","Tabor, Gary",Center for Large Landscape Conservation,2014,Center for Large Landscape Conservation,"Wildlife species in the U.S. are becoming increasingly isolated in habitat patches due to human landscapes, habitat loss, degradation, and fragmentation. Current protected areas cannot fully conserve biodiversity, resulting in shrinking distributions for many species. Climate change exacerbates isolation issues, making fragmented landscapes less resilient to disturbances and more prone to species loss and emerging threats like diseases. 25 years of peer-reviewed articles highlight that improved connectivity conservation is vital for species' movement and adaptation in response to climate change. Wildlife corridors can increase movement between habitat patches by approximately 50%, ensuring larger, cohesive landscapes for migration and dispersal.","Human activities isolate wildlife, leading to habitat loss and fragmentation. Wildlife corridors are needed to enhance connectivity, biodiversity, and climate resilience (Ament et al).",,https://www.researchgate.net/publication/301202401_Wildlife_Connectivity_Fundamentals_for_Conservation_Action,Nature Conservation,Wildlife Connectivity,Land Corridors,,
Andre et al.,Globally representative evidence on the actual and perceived support for climate action,"Andre, Pedro","Falk, Armin",University of Bonn (DE),2024,Nature Climate Change,"​A survey of nearly 130,000 individuals across 125 countries reveals robust global support for climate action. Key findings include 69% willing to contribute 1% of income, 86% endorsing pro-climate norms, and 89% demanding political action. Countries vulnerable to climate change show a higher willingness to contribute. However, a state of pluralistic ignorance persists, with individuals underestimating others' willingness to act, complicating climate initiatives. This highlights the critical need to raise awareness of global support to foster a unified response to climate change.","A global survey of 130k people from 125 countries shows strong support for climate action, especially in vulnerable regions, but ignorance hampers initiatives (Andre et al).",,https://www.nature.com/articles/s41558-024-01925-3#Abs1,Climate Change,,,,
A. McGill,The Shrinking of the American Lawn,"McGill, Andrew",,The Atlantic,2016,The Atlantic,"The average new American home now measures 2,500 square feet, a significant 50% increase since the 1970s. ​Despite the larger home sizes, lot sizes have decreased by 13%, leading to a substantial 26% reduction in yard space, averaging just 0.14 acres. This trend persists even in regions with cheap land, like the South and Great Plains, suggesting a shift in consumer preference for larger homes at the expense of yard space. Economic factors drive this change, with developers balancing the cost of larger homes by reducing lawn acreage, a notable shift in American residential patterns.","The average new American home measures 2,500 sq ft, increasing by 50% since the 1970s, while yard space has shrunk by 26% due to smaller lots and economic factors (A. McGill).",,https://www.theatlantic.com/business/archive/2016/07/lawns-census-bigger-homes-smaller-lots/489590/,Nature Conservation,Land Conservation,Urban Biodiversity,,
Anjos et al.,The effects of ants on pest control: a meta-analysis,"Anjos, Diego V. ","Tena, Alejandra","Instituto de Biologia, Universidade Federal de Uberlândia",2022,Proceedings of the Royal Society B,"Conventional agriculture's environmental impact has spurred interest in sustainable methods, with ants playing a crucial role in biological pest control. ​An analysis from 52 studies on 17 crops shows that ants reduce non-honeydew-producing pests, decrease plant damage, and increase crop yield. In addition, ants shrink the abundance of natural enemies and boost honeydew-producing pest abundance. The pest control and protection by ants are enhanced in shaded crops and this effect increases in time, which provides a good tool for sustainable farming practices.","Ants are crucial for pest control. ​An analysis from 52 studies on 17 crops shows that ants reduce pests, decrease plant damage, and increase crop yield (Anjos et al). ",,https://doi.org/10.1098/rspb.2022.1316,General,Regenerative Croplands,Sustainable Fertilizer,,
